observation_date,DGS5
2016-01,1.46
2016-02,1.23
2016-03,1.5
2016-04,1.22
2016-05,1.26
2016-06,1.1
2016-07,1.15
2016-08,1.14
2016-09,1.2
2016-10,1.28
2016-11,1.68
2016-12,2.1
2017-01,1.9
2017-02,2.01
2017-03,2.02
2017-04,1.79
2017-05,1.86
2017-06,1.76
2017-07,1.87
2017-08,1.83
2017-09,1.81
2017-10,1.95
2017-11,2.04
2017-12,2.16
2018-01,2.36
2018-02,2.65
2018-03,2.62
2018-04,2.69
2018-05,2.92
2018-06,2.81
2018-07,2.75
2018-08,2.73
2018-09,2.9
2018-10,3.01
2018-11,2.94
2018-12,2.73
2019-01,2.53
2019-02,2.49
2019-03,2.4
2019-04,2.37
2019-05,2.15
2019-06,1.85
2019-07,1.84
2019-08,1.42
2019-09,1.69
2019-10,1.59
2019-11,1.66